Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.52458933124577E-17,1.33661250755351E-17,0.0106432976711327,0,0,0,0.485324616622544,0.000983593189232418,1.00709239578331E-19,2.15067544368474E-20,0.000983593189232418,6.38958084801906E-21,0.00182829474382764,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/base_link.STL,,底座-2,Global_Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
low_link_1,-0.00216127407243594,-2.55597707204792E-09,0.0619021996213665,0,0,0,0.331748728549887,0.000222513336706059,7.06673152972853E-11,2.2773656482742E-05,0.000293275789814223,1.14271346884556E-11,0.000227891108518889,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/low_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/low_link_1.STL,,底座1-1;底座与机械臂连接板2-3;底座与机械臂连接板1-3,Base_Coordinate,Axis_Base_Joint,base_joint,continuous,0,0,0,0,0,0,base_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
low_link_2,3.12250225675825E-17,-0.0324999999999993,0.0909999946980247,0,0,0,0.110507990252835,0.000352705009978739,-2.51195392929186E-13,-1.11095502434909E-12,0.00034441807987338,-7.04089023790538E-20,1.70763527628551E-05,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/low_link_2.STL,0.850980392156863,0.850980392156863,0.850980392156863,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/low_link_2.STL,,arm-2,Low_A_Joint_Coordinate,Axis_Low_A_Joint,low_joint_A,revolute,0.0175,0.0325,0.083,0,0,0,low_link_1,0,1,0,0,0,-3.1416,3.1416,,,,,,,,
low_link_4,0.00962110681621435,-0.0325,0.0267725934392554,0,0,0,0.121253793382564,3.6960102936586E-05,2.16969474672659E-21,-9.69924813425358E-06,8.87901604619433E-05,-2.32851342433677E-22,5.63585992050934E-05,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/low_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/low_link_4.STL,,Mark42_new-2;Mark42_new-3,Low_C_Joint_Coordinate,Axis_Low_C_Joint,low_joint_C,revolute,0,0,0.182,0,0,0,low_link_2,0,-1,0,0,0,-3.1416,3.1416,,,,,,,,
high_link_2,0.090999994698026,-0.0324999999999993,-5.55111512312578E-17,0,0,0,0.110507990252835,1.70763527628551E-05,7.3200630770134E-20,1.11095505115411E-12,0.000344418079873379,2.51195392049599E-13,0.000352705009978738,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/high_link_2.STL,0.850980392156863,0.850980392156863,0.850980392156863,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/high_link_2.STL,,arm-5,High_A_Joint_Coordinate,High_A_Joint_Axis,"high_joint_A ",revolute,0.035355,0,0.014645,0,0,0,low_link_4,0,-1,0,0,0,-3.1416,3.1416,,,,,,,,
high_link_4,0.0300863035652878,-0.0325,0.019999999999998,0,0,0,0.175480660661564,6.05047056603455E-05,-8.38562617781757E-20,-1.15287788609841E-19,0.000143534859572765,5.48558467947461E-20,0.000103215341759094,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/high_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/high_link_4.STL,,末端腕部关节-6;末端腕部关节-5,High_C_Joint_Coordinate,High_C_Joint_Axis,high_joint_C,revolute,0.182,0,0,0,0,0,high_link_2,0,1,0,0,0,-3.1416,3.1416,,,,,,,,
wrist_1_link,0.0288597903243326,-0.0325000000000186,-5.32907051820075E-15,0,0,0,0.132446543816184,5.39586231779543E-05,-5.19651166152823E-21,-2.42015351437458E-19,5.99244035497373E-05,1.13159822682762E-22,5.99485243200493E-05,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/wrist_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/wrist_1_link.STL,,手腕中心-1;轴承连接轴-1,Wrist_1_Joint_Coordinate,Wrist_1_Joint_Axis,wrist_1_joint,revolute,0.05,0,0.02,0,0,0,high_link_4,0,1,0,0,0,-3.1416,3.1416,,,,,,,,
wrist_2_link,0.0413433295596609,-4.44865447797198E-15,-1.88737914186277E-15,0,0,0,0.110570086754039,4.35735393679915E-05,-1.16392158634335E-21,2.22113554646584E-19,6.54727005469971E-05,-2.98892093024712E-22,6.52299662450052E-05,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/wrist_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/wrist_2_link.STL,,手腕中心2-1,Wrist_2_Joint_Coordinate,Wrist_2_Joint_Axis,wrist_2_joint,continuous,0.043,-0.0325,0,0,0,0,wrist_1_link,-1,0,0,0,0,-3.1416,3.1416,,,,,,,,
wrist_3_link,0.0199173217488061,-0.0324999999999972,3.38618022510673E-15,0,0,0,0.175480660661564,6.05789257867864E-05,-1.3976043629696E-20,9.0008545137935E-19,0.000143646403292765,-1.03064220512909E-19,0.000103252665352653,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/wrist_3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/wrist_3_link.STL,,腕部关节1-8;腕部关节1-7,Wrist_3_Joint_Coordinate,Wrist_3_Joint_Axis,wrist_3_joint,revolute,0.0631,0.0325,0,0,0,0,wrist_2_link,0,1,0,0,0,-3.1416,3.1416,,,,,,,,
high_link_3,0.0910000053019755,-0.0175,5.55111512312578E-17,0,0,0,0.110507990252836,1.70763527628552E-05,1.14738958603776E-20,1.11095499517562E-12,0.000344418079873382,-2.51195399294245E-13,0.000352705009978742,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/high_link_3.STL,0.850980392156863,0.850980392156863,0.850980392156863,1,0,0,0,0,0,0,package://Arm_V2_edited_2/meshes/high_link_3.STL,,arm-4,High_B_Joint_Coordinate,High_B_Joint_Axis,high_joint_B,revolute,0.035355,-0.015,0.054645,0,0,0,low_link_4,0,-1,0,0,0,-3.1416,3.1416,,,,,,,,
